Procs,Terms,Variable,Total,MaxTime
1,50000,0.990000,100.000000,11.381510
2,50000,0.990000,100.000000,5.747516
3,50000,0.990000,100.000000,3.577192
4,50000,0.990000,100.000000,2.767959
5,50000,0.990000,100.000000,2.249629
6,50000,0.990000,100.000000,1.927888
7,50000,0.990000,100.000000,1.676198
8,50000,0.990000,100.000000,1.491795
9,50000,0.990000,100.000000,1.340419
10,50000,0.990000,100.000000,1.242981
11,50000,0.990000,100.000000,1.190428
12,50000,0.990000,100.000000,1.113418
13,50000,0.990000,100.000000,1.034559
14,50000,0.990000,100.000000,0.984146
15,50000,0.990000,100.000000,0.933458
16,50000,0.990000,100.000000,0.862195
1,75000,0.990000,100.000000,26.069774
2,75000,0.990000,100.000000,13.053252
3,75000,0.990000,100.000000,8.038264
4,75000,0.990000,100.000000,6.092467
5,75000,0.990000,100.000000,4.968539
6,75000,0.990000,100.000000,4.163453
7,75000,0.990000,100.000000,3.673768
8,75000,0.990000,100.000000,3.225659
9,75000,0.990000,100.000000,2.921169
10,75000,0.990000,100.000000,2.655749
11,75000,0.990000,100.000000,2.443772
12,75000,0.990000,100.000000,2.318537
13,75000,0.990000,100.000000,2.142960
14,75000,0.990000,100.000000,2.101947
15,75000,0.990000,100.000000,1.960000
16,75000,0.990000,100.000000,1.883278
1,100000,0.990000,100.000000,67.255800
2,100000,0.990000,100.000000,35.961881
3,100000,0.990000,100.000000,20.739544
4,100000,0.990000,100.000000,15.704871
5,100000,0.990000,100.000000,13.023032
6,100000,0.990000,100.000000,10.864215
7,100000,0.990000,100.000000,9.400297
8,100000,0.990000,100.000000,8.374008
9,100000,0.990000,100.000000,7.974835
10,100000,0.990000,100.000000,6.833509
11,100000,0.990000,100.000000,6.595675
12,100000,0.990000,100.000000,5.761856
13,100000,0.990000,100.000000,5.388296
14,100000,0.990000,100.000000,5.038699
15,100000,0.990000,100.000000,5.046922
16,100000,0.990000,100.000000,4.779102
